Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades,
2016,4,137,Green Bay Packers,Dean Lowry ,DE,Northwestern,Big Ten,,
2016,4,138,Cleveland Browns,Seth DeValve ,TE,Princeton,Ivy,,
2016,4,139,Buffalo Bills,Cardale Jones ,QB,Ohio State,Big Ten,Extra compensatory pick authorized by NFLMC and NFLPA[3][4],
2016,5,140,Tennessee Titans,Tajae Sharpe ,WR,UMass,MAC,,
2016,5,141,Carolina Panthers,Zack Sanchez ,CB,Oklahoma,Big 12,from Cleveland [R5 - 1],
2016,5,142,San Francisco 49ers,Ronald Blair ,DE,Appalachian State,Sun Belt,from San Diego [R5 - 2],
2016,5,143,Oakland Raiders,DeAndré Washington ,RB,Texas Tech,Big 12,from Dallas [R5 - 3],
2016,5,144,Denver Broncos,Connor McGovern ,G,Missouri,SEC,from Baltimore [R5 - 4],
2016,5,145,San Francisco 49ers,John Theus ,OT,Georgia,SEC,,
2016,5,146,Baltimore Ravens,Matt Judon ,DE,Grand Valley State,GLIAC,from Jacksonville [R5 - 5],
2016,5,147,Seattle Seahawks,Quinton Jefferson ,DT,Maryland,Big Ten,from Miami via New England [R5 - 6],
2016,5,148,Tampa Bay Buccaneers,Caleb Benenoch ,OT,UCLA,Pac-12,,
2016,5,149,New York Giants,Paul Perkins ,RB,UCLA,Pac-12,,
2016,5,150,Chicago Bears,Jordan Howard ,RB,Indiana,Big Ten,,
2016,5,151,Detroit Lions,Joe Dahl ,G,Washington State,Pac-12,,
2016,5,152,Washington Redskins,Matt Ioannidis ,DT,Temple,The American,from New Orleans [R5 - 7],
2016,5,153,Philadelphia Eagles,Wendell Smallwood ,RB,West Virginia,Big 12,,
2016,5,154,Cleveland Browns,Jordan Payton ,WR,UCLA,Pac-12,from Oakland [R5 - 8],
2016,5,155,Indianapolis Colts,Joe Haeg ,OT,North Dakota State,MVFC,,
2016,5,156,Buffalo Bills,Jonathan Williams ,RB,Arkansas,SEC,,
2016,5,157,Tennessee Titans,LeShaun Sims ,CB,Southern Utah,Big Sky,from NY Jets via Denver [R5 - 9],
2016,5,158,New York Jets,Brandon Shell ,OT,South Carolina,SEC,from Washington [R5 - 10],
2016,5,159,Houston Texans,K. J. Dillon ,S,West Virginia,Big 12,,
2016,5,160,Minnesota Vikings,Kentrell Brothers ,LB,Missouri,SEC,,
2016,5,161,Cincinnati Bengals,Christian Westerman ,G,Arizona State,Pac-12,,
2016,5,162,Kansas City Chiefs,Kevin Hogan ,QB,Stanford,Pac-12,from Seattle [R5 - 11],
2016,5,163,Green Bay Packers,Trevor Davis ,WR,California,Pac-12,,
2016,5,164,Philadelphia Eagles,Halapoulivaati Vaitai ,OT,TCU,Big 12,from Pittsburgh [R5 - 12],
2016,5,165,Kansas City Chiefs,Tyreek Hill ,WR,West Alabama,Gulf South,,
2016,5,166,Houston Texans,D. J. Reader ,DT,Clemson,ACC,from New England [R5 - 13],
2016,5,167,Arizona Cardinals,Marqui Christian ,S,Midwestern State,Lone Star,,
2016,5,168,Cleveland Browns,Spencer Drango ,OT,Baylor,Big 12,from Carolina [R5 - 14],
2016,5,169,Detroit Lions,Antwione Williams ,LB,Georgia Southern,Sun Belt,from Denver [R5 - 15],
2016,5,170,Arizona Cardinals,Cole Toner ,OT,Harvard,Ivy,,
2016,5,171,Seattle Seahawks,Alex Collins ,RB,Arkansas,SEC,,
2016,5,172,Cleveland Browns,Rashard Higgins ,WR,Colorado State,MW,,
2016,5,173,Cleveland Browns,Trey Caldwell ,CB,Louisiana-Monroe,Sun Belt,,
2016,5,174,San Francisco 49ers,Fahn Cooper ,OT,Ole Miss,SEC,,
2016,5,175,San Diego Chargers,Jatavis Brown ,LB,Akron,MAC,,
2016,6,176,Denver Broncos,Andy Janovich ,FB,Nebraska,Big Ten,from Cleveland via Tennessee [R6 - 1],
2016,6,177,Los Angeles Rams,Temarrick Hemingway ,TE,South Carolina State,MEAC,from Tennessee [R6 - 2],
2016,6,178,Kansas City Chiefs,D. J. White ,CB,Georgia Tech,ACC,from Dallas via San Francisco [R6 - 3],
2016,6,179,San Diego Chargers,Drew Kaser ,P,Texas A&M,SEC,,
2016,6,180,Minnesota Vikings,Moritz Böhringer ,WR, , ,from San Francisco [R6 - 4].,
2016,6,181,Jacksonville Jaguars,Tyrone Holmes ,DE,Montana,Big Sky,,
2016,6,182,Baltimore Ravens,Keenan Reynolds ,WR,Navy,The American,,
2016,6,183,Tampa Bay Buccaneers,Devante Bond ,LB,Oklahoma,Big 12,,
2016,6,184,New York Giants,Jerell Adams ,TE,South Carolina,SEC,,
2016,6,185,Chicago Bears,DeAndre Houston-Carson ,CB,William & Mary,CAA,,
2016,6,186,Miami Dolphins,Jakeem Grant ,WR,Texas Tech,Big 12,from Miami via Minnesota [R6 - 5],
2016,6,187,Washington Redskins,Nate Sudfeld ,QB,Indiana,Big Ten,from New Orleans [R6 - 6],
2016,6,188,Minnesota Vikings,David Morgan II ,TE,UTSA,C-USA,from Philadelphia [R6 - 7],
2016,6,189,Dallas Cowboys,Anthony Brown ,CB,Purdue,Big Ten,from Oakland [R6 - 8],
2016,6,190,Los Angeles Rams,Josh Forrest ,LB,Kentucky,SEC,,
2016,6,191,Detroit Lions,Jake Rudock ,QB,Michigan,Big Ten,,
2016,6,192,Buffalo Bills,Kolby Listenbee ,WR,TCU,Big 12,,
2016,6,193,Tennessee Titans,Sebastian Tretola ,G,Arkansas,SEC,from Atlanta [R6 - 9],
2016,6,194,Oakland Raiders,Cory James ,LB,Colorado State,MW,from Indianapolis [R6 - 10],
2016,6,195,Atlanta Falcons,Wes Schweitzer ,G,San Jose State,MW,from NY Jets via Houston [R6 - 11],
2016,6,196,Philadelphia Eagles,Blake Countess ,CB,Auburn,SEC,"from Houston via New England, Miami and Minnesota [R6 - 12]",
2016,6,197,Tampa Bay Buccaneers,Dan Vitale ,FB,Northwestern,Big Ten,from Washington [R6 - 13],
2016,6,198,San Diego Chargers,Derek Watt ,FB,Wisconsin,Big Ten,from Minnesota [R6 - 14],
2016,6,199,Cincinnati Bengals,Cody Core ,WR,Ole Miss,SEC,,
2016,6,200,Green Bay Packers,Kyle Murphy ,OT,Stanford,Pac-12,,
2016,6,201,Jacksonville Jaguars,Brandon Allen ,QB,Arkansas,SEC,from Pittsburgh [R6 - 15],
2016,6,202,Detroit Lions,Anthony Zettel ,DE,Penn State,Big Ten,from Seattle [R6 - 16],
2016,6,203,Kansas City Chiefs,Dadi Nicolas ,LB,Virginia Tech,ACC,,
2016,6,204,Miami Dolphins,Jordan Lucas ,S,Penn State,Big Ten,from New England via Chicago and New England [R6 - 17],
2016,6,205,Arizona Cardinals,Harlan Miller ,CB,Southeastern Louisiana,Southland,,
2016,6,206,Los Angeles Rams,Mike Thomas ,WR,Southern Miss,C-USA,from Carolina via Chicago  [R6 - 18],
2016,6,207,San Francisco 49ers,Jeff Driskel ,QB,Louisiana Tech,C-USA,from Denver [R6 - 19],
2016,6,208,New England Patriots,Kamu Grugier-Hill ,LB,Eastern Illinois,OVC,,
2016,6,209,Baltimore Ravens,Maurice Canady ,CB,Virginia,ACC,,
2016,6,210,Detroit Lions,Jimmy Landes ,LS,Baylor,Big 12,,
2016,6,211,San Francisco 49ers,Kelvin Taylor ,RB,Florida,SEC,,
2016,6,212,Dallas Cowboys,Kavon Frazier ,S,Central Michigan,MAC,,
2016,6,213,San Francisco 49ers,Aaron Burbridge ,WR,Michigan State,Big Ten,,
2016,6,214,New England Patriots,Elandon Roberts ,LB,Houston,The American,,
2016,6,215,Seattle Seahawks,Joey Hunt ,C,TCU,Big 12,,
2016,6,216,Dallas Cowboys,Darius Jackson ,RB,Eastern Michigan,MAC,,
2016,6,217,Dallas Cowboys,Rico Gathers ,TE,Baylor,Big 12,Did not play football at Baylor; played as a PF for Baylor basketball.,
2016,6,218,Buffalo Bills,Kevon Seymour ,CB,USC,Pac-12,,
2016,6,219,Denver Broncos,Will Parks ,S,Arizona,Pac-12,,
2016,6,220,Pittsburgh Steelers,Travis Feeney ,LB,Washington,Pac-12,,
2016,6,221,New England Patriots,Ted Karras ,G,Illinois,Big Ten,,
2016,7,222,Tennessee Titans,Aaron Wallace ,LB,UCLA,Pac-12,,
2016,7,223,Miami Dolphins,Brandon Doughty ,QB,Western Kentucky,C-USA,from Cleveland [R7 - 1],
2016,7,224,San Diego Chargers,Donavon Clark ,G,Michigan State,Big Ten,,
2016,7,225,New England Patriots,Devin Lucien ,WR,Arizona State,Pac-12,from Dallas via Seattle [R7 - 2],
2016,7,226,Jacksonville Jaguars,Jonathan Woodard ,DE,Central Arkansas,Southland,,
2016,7,227,Minnesota Vikings,Stephen Weatherly ,LB,Vanderbilt,SEC,from Baltimore via Miami [R7 - 3],
2016,7,228,Denver Broncos,Riley Dixon ,P,Syracuse,ACC,from San Francisco [R7 - 4],
2016,7,229,Pittsburgh Steelers,Demarcus Ayers ,WR,Houston,The American,from NY Giants [R7 - 5],
2016,7,230,Chicago Bears,Daniel Braverman ,WR,Western Michigan,MAC,,
2016,7,231,Miami Dolphins,Thomas Duarte ,TE,UCLA,Pac-12,,
2016,7,232,Washington Redskins,Steven Daniels ,LB,Boston College,ACC,from Tampa Bay [R7 - 6],
2016,7,233,Philadelphia Eagles,Jalen Mills ,S,LSU,SEC,,
2016,7,234,Oakland Raiders,Vadal Alexander ,G,LSU,SEC,,
2016,7,235,New York Jets,Lachlan Edwards ,P,Sam Houston State,Southland,from Los Angeles via Houston and Denver [R7 - 7],
2016,7,236,Detroit Lions,Dwayne Washington ,RB,Washington,Pac-12,,
2016,7,237,New Orleans Saints,Daniel Lasco ,RB,California,Pac-12,,
2016,7,238,Atlanta Falcons,Devin Fuller ,WR,UCLA,Pac-12,,
2016,7,239,Indianapolis Colts,Trevor Bates ,LB,Maine,CAA,,
2016,7,240,Philadelphia Eagles,Alex McCalister ,DE,Florida,SEC,from Buffalo via Minnesota [R7 - 8],
2016,7,241,New York Jets,Charone Peake ,WR,Clemson,ACC,,
2016,7,242,Washington Redskins,Keith Marshall ,RB,Georgia,SEC,,
2016,7,243,Seattle Seahawks,Kenny Lawler ,WR,California,Pac-12,from Houston via New England [R7 - 9],
2016,7,244,Minnesota Vikings,Jayron Kearse ,S,Clemson,ACC,,
2016,7,245,Cincinnati Bengals,Clayton Fejedelem ,S,Illinois,Big Ten,,
2016,7,246,Pittsburgh Steelers,Tyler Matakevich ,LB,Temple,The American,,
2016,7,247,Seattle Seahawks,Zac Brooks ,RB,Clemson,ACC,,
2016,7,248,Indianapolis Colts,Austin Blythe ,C,Iowa,Big Ten,from Green Bay [R7 - 10],
2016,7,249,San Francisco 49ers,Prince Charles Iworah ,CB,Western Kentucky,C-USA,from Kansas City [R7 - 11],
2016,7,250,Cleveland Browns,Scooby Wright ,LB,Arizona,Pac-12,from New England via Miami [R7 - 12],
2016,7,251,Philadelphia Eagles,Joe Walker ,LB,Oregon,Pac-12,from Arizona [R7 - 13],
2016,7,252,Carolina Panthers,Beau Sandland ,TE,Montana State,Big Sky,,
2016,7,253,Tennessee Titans,Kalan Reed ,CB,Southern Miss,C-USA,from Denver [R7 - 14],
